timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2018-03-10,0.00029220,0.00029960,0.00027670,0.00027970,3255828.68000000,1520726399999,942.64809324,23171,1585456.41000000,459.82038433,0
2018-03-11,0.00027980,0.00029400,0.00027730,0.00029050,2369906.71000000,1520812799999,681.32588497,24867,1089094.34000000,313.50819577,0
2018-03-12,0.00029040,0.00029500,0.00028330,0.00028830,2762320.88000000,1520899199999,794.51401333,16631,1261023.03000000,363.38879184,0
2018-03-13,0.00028830,0.00032160,0.00028520,0.00031580,10464325.80000000,1520985599999,3217.80863364,55032,5260303.15000000,1620.03202715,0
2018-03-14,0.00031640,0.00034150,0.00028410,0.00028950,16615283.34000000,1521071999999,5230.08868335,75708,8002366.79000000,2520.49731228,0
2018-03-15,0.00028940,0.00029660,0.00027150,0.00027490,10493293.85000000,1521158399999,2964.85522852,41894,5124172.02000000,1450.52387556,0
2018-03-16,0.00027480,0.00028230,0.00026790,0.00027040,8385474.47000000,1521244799999,2304.08420159,30332,4288216.62000000,1179.30038665,0
2018-03-17,0.00027090,0.00027440,0.00024240,0.00024750,9282442.34000000,1521331199999,2400.88756184,34839,4536199.48000000,1174.87543895,0
2018-03-18,0.00024740,0.00025820,0.00021350,0.00025090,14035111.96000000,1521417599999,3299.68316219,55883,7051950.58000000,1664.14392961,0
2018-03-19,0.00025100,0.00027720,0.00023860,0.00027370,13578229.09000000,1521503999999,3501.51726013,50673,7141973.71000000,1843.72141656,0
2018-03-20,0.00027370,0.00030850,0.00025420,0.00029420,15947538.69000000,1521590399999,4378.47226079,61360,8170889.57000000,2247.36973495,0
2018-03-21,0.00029420,0.00041790,0.00029290,0.00039020,56137239.96000000,1521676799999,20901.49896501,234628,29196685.56000000,10860.89950344,0
2018-03-22,0.00039080,0.00044240,0.00038230,0.00041300,29493091.23000000,1521763199999,12145.22833953,140642,14621916.29000000,6031.43229213,0
2018-03-23,0.00041320,0.00047440,0.00036570,0.00045410,38271686.39000000,1521849599999,16458.85425648,179740,18927424.62000000,8158.69099893,0
2018-03-24,0.00045410,0.00045980,0.00040800,0.00041100,13812902.13000000,1521935999999,5901.38992872,77929,6977173.92000000,2982.89658689,0
2018-03-25,0.00041050,0.00042990,0.00039190,0.00040880,10942245.37000000,1522022399999,4470.53747559,61708,5762623.82000000,2355.63309233,0
2018-03-26,0.00040920,0.00041290,0.00035090,0.00037270,14177597.83000000,1522108799999,5389.83900707,61379,6843224.72000000,2611.04519519,0
2018-03-27,0.00037270,0.00037800,0.00035200,0.00036420,12842231.24000000,1522195199999,4683.49915346,46660,6891837.57000000,2513.33238673,0
2018-03-28,0.00036420,0.00037220,0.00035230,0.00035630,12903315.83000000,1522281599999,4673.10321710,37835,6811837.79000000,2467.21425185,0
2018-03-29,0.00035600,0.00036100,0.00031970,0.00032380,16991258.25000000,1522367999999,5752.94419739,54165,8546491.71000000,2892.68037003,0
2018-03-30,0.00032380,0.00034340,0.00031330,0.00032700,17244282.18000000,1522454399999,5614.10919157,52235,8621845.35000000,2807.41119827,0
2018-03-31,0.00032730,0.00033500,0.00031000,0.00031460,12731989.48000000,1522540799999,4098.85928984,39150,6652799.71000000,2143.08379921,0
2018-04-01,0.00031460,0.00031640,0.00028790,0.00030590,9055983.81000000,1522627199999,2747.72936968,42247,4460123.95000000,1354.56203135,0
2018-04-02,0.00030590,0.00031400,0.00028440,0.00030320,9010132.80000000,1522713599999,2711.91951770,39811,4585876.94000000,1382.36674845,0
2018-04-03,0.00030340,0.00032350,0.00029830,0.00032170,10189451.74000000,1522799999999,3147.60483630,42652,5146893.31000000,1591.04837866,0
2018-04-04,0.00032170,0.00032450,0.00030100,0.00030430,9686483.80000000,1522886399999,3012.16037385,42007,4450438.23000000,1385.20102591,0
2018-04-05,0.00030440,0.00031570,0.00029050,0.00029660,9054424.49000000,1522972799999,2693.93674568,41044,4309872.31000000,1283.67683284,0
2018-04-06,0.00029660,0.00029900,0.00028050,0.00029080,9554213.23000000,1523059199999,2767.21114880,34036,4531148.16000000,1311.87282274,0
2018-04-07,0.00029070,0.00032380,0.00028940,0.00030180,15468693.03000000,1523145599999,4727.17428449,54190,7322114.88000000,2239.34512194,0
2018-04-08,0.00030180,0.00030580,0.00029630,0.00029980,10331794.36000000,1523231999999,3101.33367124,28246,4944017.05000000,1484.66132465,0
2018-04-09,0.00029980,0.00031010,0.00029100,0.00029700,11959291.52000000,1523318399999,3560.20847177,35172,6015845.86000000,1790.87503328,0
2018-04-10,0.00029670,0.00031930,0.00029280,0.00031290,12903440.93000000,1523404799999,3930.60972930,40162,6494010.76000000,1980.09406135,0
2018-04-11,0.00031290,0.00034700,0.00030760,0.00033310,16451366.59000000,1523491199999,5400.42229555,64745,8080630.11000000,2652.62455062,0
2018-04-12,0.00033310,0.00036710,0.00031170,0.00034200,19889468.91000000,1523577599999,6746.26087657,87173,9416982.14000000,3201.21184618,0
2018-04-13,0.00034200,0.00035490,0.00032230,0.00032510,11159321.72000000,1523663999999,3797.09547476,65405,4886730.59000000,1662.13138710,0
2018-04-14,0.00032550,0.00033780,0.00031710,0.00032590,4123169.81000000,1523750399999,1348.08569002,26326,1870775.32000000,612.41346459,0
2018-04-15,0.00032590,0.00035000,0.00032010,0.00034380,6364953.76000000,1523836799999,2141.87887400,47994,3051485.81000000,1028.65394161,0
2018-04-16,0.00034410,0.00037340,0.00033800,0.00036330,11112034.62000000,1523923199999,3952.41552430,65564,5556851.11000000,1980.43509386,0
2018-04-17,0.00036290,0.00036800,0.00035200,0.00036090,6651194.03000000,1524009599999,2394.49959110,42374,3035092.23000000,1094.22434506,0
2018-04-18,0.00036100,0.00040710,0.00035830,0.00039800,10356399.36000000,1524095999999,3966.17908652,69049,5327707.06000000,2042.51787932,0
2018-04-19,0.00039750,0.00041950,0.00038780,0.00041060,9275448.66000000,1524182399999,3759.48033468,73831,4534378.03000000,1841.01802724,0
2018-04-20,0.00041070,0.00043120,0.00038900,0.00040540,10402452.85000000,1524268799999,4235.93585506,81126,4722503.90000000,1930.89964291,0
2018-04-21,0.00040550,0.00041840,0.00037410,0.00039430,8002825.71000000,1524355199999,3185.27413825,54777,3765802.02000000,1501.74964213,0
2018-04-22,0.00039460,0.00040810,0.00038620,0.00040230,5021261.56000000,1524441599999,2002.09725705,38249,2366890.16000000,944.40724927,0
2018-04-23,0.00040210,0.00044110,0.00039570,0.00043700,11250601.62000000,1524527999999,4770.88833722,72121,5649275.94000000,2399.76872479,0
2018-04-24,0.00043690,0.00047710,0.00042650,0.00043750,17010239.81000000,1524614399999,7745.35936947,114026,8561093.26000000,3902.87328575,0
2018-04-25,0.00043590,0.00045460,0.00039310,0.00041600,15574951.95000000,1524700799999,6523.06458739,101010,6956413.39000000,2919.63057375,0
2018-04-26,0.00041630,0.00046430,0.00041020,0.00046120,10836790.13000000,1524787199999,4733.83144722,76690,5357595.20000000,2345.63608676,0
2018-04-27,0.00046120,0.00050850,0.00044430,0.00047710,21984280.79000000,1524873599999,10578.27463744,137619,11223012.69000000,5403.82019864,0
2018-04-28,0.00047710,0.00052490,0.00047580,0.00051610,12884811.95000000,1524959999999,6591.56037052,95218,6570218.40000000,3361.51303039,0
2018-04-29,0.00051600,0.00051770,0.00047360,0.00049650,11779930.14000000,1525046399999,5816.34817791,93520,5451588.39000000,2693.84062107,0
2018-04-30,0.00049650,0.00049820,0.00045600,0.00046930,13127397.98000000,1525132799999,6252.76288465,104390,6084685.20000000,2897.48787559,0
2018-05-01,0.00046870,0.00048680,0.00044240,0.00048210,9090836.44000000,1525219199999,4238.93434687,75250,4013849.95000000,1874.89657287,0
2018-05-02,0.00048270,0.00048500,0.00046690,0.00047320,5214797.25000000,1525305599999,2473.87425169,48166,2487107.18000000,1180.32122005,0
2018-05-03,0.00047320,0.00049270,0.00044390,0.00045010,10403589.12000000,1525391999999,4920.34960239,85984,4658542.54000000,2205.91169307,0
2018-05-04,0.00045010,0.00046880,0.00042850,0.00046680,8575127.14000000,1525478399999,3862.65883933,66172,4202196.87000000,1896.89911541,0
2018-05-05,0.00046620,0.00046700,0.00043600,0.00044600,4704118.81000000,1525564799999,2106.38936314,40002,2128876.22000000,952.87243839,0
2018-05-06,0.00044600,0.00044730,0.00042430,0.00043890,4093647.79000000,1525651199999,1786.24566325,34364,1765687.31000000,771.43135895,0
